Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
Duty Free | Vayu,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Mexican",4.1,911,2200
Pind Balluchi,"Udyog Vihar, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Mughlai",4.3,47,1700
Longitude Bar,"Le Meridien,MG Road, Gurgaon", Gurgaon,Gurgaon,Finger Food,4.5,10,3000
China Club,"Global Business Park,MG Road, Gurgaon", Gurgaon,Gurgaon,"Chinese,  Seafood,  Asian",4.5,220,3000
Sky House Cafe & Bar,"Gaur Central Mall,Raj Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"Finger Food,  North Indian,  Italian,  Chinese,  Continental",4.3,222,1800
Krispy Kreme,"Cyber Hub,DLF Cyber City, Gurgaon", Gurgaon,Gurgaon,"Desserts,  Doughnuts",3.6,24,400
Chaayos,"DLF Cyber City, Gurgaon", Gurgaon,Gurgaon,"Street Food,  Tea,  Fast Food",4.1,13,500
Manhattan Bar & Brewery,"Global Foyer Mall,Golf Course Road, Gurgaon", Gurgaon,Gurgaon,"Finger Food,  North Indian,  Italian,  Continental,  Asian",4.5,505,2000
Distillery - Craft Beer and Cocktails,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"Finger Food,  North Indian,  Italian,  Oriental ",4.2,211,2100
Cafe Delhi Heights,"Cross Point Mall,DLF Phase - 4, Gurgaon", Gurgaon,Gurgaon,"Continental,  Modern Indian,  Italian,  American,  Asian",4.4,494,2000
New Ferringhi Garden & Restaurant,"DLF Phase - 2, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Chinese,  Mughlai",5.0,1,800
Khaane Ki Dukaan,"Sector 37, Faridabad", Faridabad,Noida,"North Indian,  Chinese",4.5,2,700
The Yellow Chilli,"Gaur CIty 1, NCR Greater Noida", NCR Greater Noida,Noida,"North Indian,  Mughlai",3.4,64,2000
Blue Tokai Coffee Roasters,"DLF Phase - 1, Gurgaon", Gurgaon,Gurgaon,"Coffee,  Fast Food",5.0,1,900
Gallery Cafe,"Hyatt Place,Udyog Vihar, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Continental,  Asian",4.2,145,1500
Taco Bell,"Gaur City Mall,Gaur CIty 1, NCR Greater Noida", NCR Greater Noida,Noida,"Mexican,  Tex Mex",4.3,8,500
Molecule Air Bar,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Italian,  Chinese,  Continental,  Mediterranean,  Asian",4.3,1342,2800
Tossin Pizza,"Sector 22, Gurgaon", Gurgaon,Gurgaon,"Pizza,  Italian",4.5,63,800
Naivedyam,"Vipul Square Building,Sushant Lok Phase 1, Gurgaon", Gurgaon,Gurgaon,South Indian,4.4,448,500
Chaayos,"DLF Qutub Plaza Complex,DLF Phase - 1, Gurgaon", Gurgaon,Gurgaon,"Street Food,  Tea,  Fast Food",5.0,1,500
The Mask Cafe And Lounge,"Kingswood Avenue,Crossings Republik, Ghaziabad", Ghaziabad,Ghaziabad,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Mexican,  American",5.0,1,1300
Rebound Cafe And Lounge,"Raj Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"North Indian,  Italian,  Chinese,  Continental,  Mughlai",4.5,59,1300
Chaayos,"DLF Phase - 1, Gurgaon", Gurgaon,Gurgaon,"Street Food,  Tea,  Fast Food",4.0,1,500
Feel Alive,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Finger Food,  Italian,  Asian",4.2,260,2500
TYM Cafe & Restaurant,"Raj Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"North Indian,  Fast Food,  Italian,  Chinese,  Continental",4.0,196,700
ASAP Diner,"Raj Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"North Indian,  Street Food,  Chinese,  South Indian",4.5,196,600
Mogli's Coffee,"City Centre Mall,MG Road, Gurgaon", Gurgaon,Gurgaon,"Fast Food,  Coffee",5.0,1,700
AMPM Café and Bar,"DLF Galleria Market,DLF Phase - 4, Gurgaon", Gurgaon,Gurgaon,"Multi-Cuisine,  Italian,  European,  American,  Oriental ,  Tex Mex",4.2,694,1700
Subway,"MGF Metropolitan Mall,MG Road, Gurgaon", Gurgaon,Gurgaon,Health Food,4.2,8,500
Crepe-Fe,"Ardee City, Gurgaon", Gurgaon,Gurgaon,"Desserts,  Fast Food",5.0,4,400
21 Gun Salute,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Mughlai,  Multi-Cuisine,  Chinese,  Continental",4.4,494,1800
Decode Air Bar,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"Finger Food,  Fusion,  North Indian,  Italian,  Asian,  Oriental ,  Modern Indian,  Sushi",4.2,329,2200
Big Boyz Lounge Air Bar,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"Finger Food,  North Indian,  Chinese,  Mexican",4.0,464,2200
Seasonal Tastes,"The Westin Hotel,Sector 29, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Continental,  Italian,  Asian",4.4,295,5000
La La Land Brew Pub,"Global Foyer Mall,Golf Course Road, Gurgaon", Gurgaon,Gurgaon,"Multi-Cuisine,  Finger Food,  North Indian,  Italian,  Chinese,  Mexican",4.3,187,2200
Crops and Curries,"VVIP Style Mall,Raj Nagar Extension, Ghaziabad", Ghaziabad,Ghaziabad,"North Indian,  Italian,  Chinese,  Continental",4.0,55,2000
Cinch,"Raj Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Mediterranean",3.9,62,2200
Barbeque Nation,"Gaur Central Mall,Raj Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"North Indian,  Barbecue,  Mughlai",4.4,151,1700
Halki Aanch,"The Shopping Mall,DLF Phase - 1, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Oriental ",4.0,6,800
Barbeque Nation,"Global Foyer Mall,Palam Vihar, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Barbecue,  Mughlai",4.3,118,1700
Side Wok,"MPD Tower,Sector 43, Gurgaon", Gurgaon,Gurgaon,"Asian,  Chinese,  Thai,  Japanese",4.6,138,2000
Cafe Reed,"Two Horizon Center,Golf Course Road, Gurgaon", Gurgaon,Gurgaon,"Continental,  Desserts",4.6,44,1000
JALSA Indian & Ladakhi Kitchen,"DLF Phase - 1, Gurgaon", Gurgaon,Gurgaon,"Oriental ,  Tibetan,  North Indian",3.8,11,1000
Bizibean,"South Point Mall,DLF Phase - 5, Gurgaon", Gurgaon,Gurgaon,"Fast Food,  Coffee,  Tea",4.9,4,500
Norenj,"South City 2, Gurgaon", Gurgaon,Gurgaon,"Multi-Cuisine,  Italian,  Mediterranean,  European,  Oriental ",4.5,676,2000
Nathu's Sweets,"Dubai Mall,Raj Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"Street Food,  Mithai,  North Indian,  Chinese,  Continental,  South Indian",3.9,48,500
TNG Restaurant,"Raj Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Mexican,  Oriental ",4.0,42,1800
Tossin Pizza,"DLF Galleria Market,DLF Phase - 4, Gurgaon", Gurgaon,Gurgaon,"Pizza,  Italian",4.5,200,800
Gola Sizzlers,"Raj Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"Sizzlers,  North Indian,  Chinese",4.0,1,1100
Local,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Continental",3.9,326,1800
The Aravali Story,"Sector 43, Faridabad", Faridabad,Noida,"North Indian,  Fast Food",3.9,30,900
Whisky Samba,"DLF Phase - 5, Gurgaon", Gurgaon,Gurgaon,"Multi-Cuisine,  Chinese,  Thai,  Japanese,  Indian Cuisine",4.4,371,2500
Getafix,"Cross Point Mall,DLF Phase - 4, Gurgaon", Gurgaon,Gurgaon,"Health Food,  Italian,  Continental,  American",4.5,155,1800
Desi Thaat,"Raj Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"North Indian,  Chinese,  Continental,  Desserts,  Fast Food",4.3,71,1200
Clock Tower,"Golf Course Road, Gurgaon", Gurgaon,Gurgaon,"Finger Food,  North Indian,  Italian,  Asian",4.4,306,2800
Striker Skybar,"South Point Mall,DLF Phase - 5, Gurgaon", Gurgaon,Gurgaon,"Finger Food,  North Indian,  Continental,  American,  Asian",4.3,176,2800
Pind Balluchi,"Raj Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"North Indian,  Mughlai",3.9,29,1800
The Bikers Cafe Classic,"Golf Course Road, Gurgaon", Gurgaon,Gurgaon,"Continental,  Italian,  Chinese",4.3,391,1500
The Udta Punjab,"Raj Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"Fast Food,  Italian",4.5,2,600
JALSA Indian & Ladakhi Kitchen,"DLF Galleria Market,DLF Phase - 4, Gurgaon", Gurgaon,Gurgaon,"Oriental ,  Tibetan,  North Indian",3.8,5,1000
Auntie Fung's,"DLF Galleria Market,DLF Phase - 4, Gurgaon", Gurgaon,Gurgaon,Asian,4.8,14,900
Chaayos,"DLF Galleria Market,DLF Phase - 4, Gurgaon", Gurgaon,Gurgaon,"Street Food,  Tea,  Fast Food",4.4,72,500
Howdie Foodie,"Raj Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"North Indian,  Chinese",4.2,7,1200
Hahn's Kitchen,"One Horizon Centre,Golf Course Road, Gurgaon", Gurgaon,Gurgaon,"Korean,  Japanese",4.4,64,1800
Mashaya Restaurant,"Raj Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  Mediterranean,  Seafood",3.8,113,1400
My Bar Headquarters,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"Finger Food,  North Indian,  Chinese,  Continental",4.0,631,1500
Coastal Reef,"DLF Galleria Market,DLF Phase - 4, Gurgaon", Gurgaon,Gurgaon,"Goan,  Andhra,  Kerala",4.2,12,1400
The Dim Sum House,"Super Mart 1,DLF Phase - 4, Gurgaon", Gurgaon,Gurgaon,"Chinese,  Thai,  Continental",4.5,7,800
Indian Grill Room,"Suncity Business Tower,Golf Course Road, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Mughlai",4.4,416,2200
The Spice Route,"Crossings Republik, Ghaziabad", Ghaziabad,Ghaziabad,"North Indian,  Chinese",3.8,6,300
The Ladakhi Kitchen,"DLF Phase - 4, Gurgaon", Gurgaon,Gurgaon,"Chinese,  Tibetan",4.3,8,800
The Joint Cafe,"DLF Galleria Market,DLF Phase - 4, Gurgaon", Gurgaon,Gurgaon,"American,  Burger,  Italian,  Continental",3.9,21,2100
Haristo Cafe & Pizzeria,"Advocate Chamber,Raj Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"Italian,  Chinese,  Continental,  Shakes",3.3,3,800
Naivedyam,"Golf Course Road, Gurgaon", Gurgaon,Gurgaon,South Indian,4.4,396,500
Boombox Brewstreet,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"Arabian,  North Indian,  Italian,  Continental,  Oriental ",4.2,778,2500
Dasaprakash,"Sector 142, Noida", Noida,Noida,"South Indian,  North Indian,  Continental,  Oriental ",4.3,96,800
Folks,"Sector 16, Faridabad", Faridabad,Noida,"North Indian,  Finger Food,  Chinese,  Thai",4.5,292,1800
Downtown Kitchen and Bar,"Courtyard by Marriott Hotel,Sushant Lok Phase 1, Gurgaon", Gurgaon,Gurgaon,"Multi-Cuisine,  North Indian,  Italian,  Asian",4.1,195,3400
Friction The Drinkery,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"Finger Food,  North Indian,  Italian,  Continental,  Oriental ",4.0,154,2100
Greenr Cafe,"32nd Avenue,Sector 15, Gurgaon", Gurgaon,Gurgaon,"Continental,  Health Food",4.7,147,1400
Pehle Chai,"Sushant Lok, Gurgaon", Gurgaon,Gurgaon,Tea,4.3,4,400
Chattynadu,"Sushant Lok, Gurgaon", Gurgaon,Gurgaon,"South Indian,  Kerala",4.6,27,800
Artusi Ristorante in Piazza Horizon,"Two Horizon Center,Golf Course Road, Gurgaon", Gurgaon,Gurgaon,"Italian,  Seafood",4.6,67,3000
World Trail,"Assotech Business Cresterra,Sector 135, Noida", Noida,Noida,Fast Food,4.5,22,700
Cafe Amaretto,"South Point Mall,DLF Phase - 5, Gurgaon", Gurgaon,Gurgaon,"Italian,  Desserts,  Bakery and Confectionary",4.4,131,2800
My Tea Chapel,"South Point Mall,DLF Phase - 5, Gurgaon", Gurgaon,Gurgaon,"Continental,  Coffee,  Tea,  Italian,  Desserts,  Pizza",4.5,11,1000
Lost Lemons,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Chinese,  Continental",4.1,162,2500
21 shots -  The MRP Bar,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"Finger Food,  North Indian,  Italian",4.1,354,2000
The Burger Club,"Sushant Lok Phase 1, Gurgaon", Gurgaon,Gurgaon,"Burger,  Fast Food",4.5,2,600
The Legacy of Sasuraal,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Chinese,  Seafood",4.1,316,2200
Warehouse Cafe,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Fusion,  Italian,  Chinese",4.1,1107,2500
The Barbeque Company,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Barbecue,  Chinese",4.3,1944,1800
Ziuba,"Ardee Mall,Ardee City, Gurgaon", Gurgaon,Gurgaon,"Chinese,  Thai,  Japanese",4.2,98,1200
The Beer Cafe,"Advant Navis Business Park,Sector 142, Noida", Noida,Noida,"Italian,  Finger Food,  North Indian",3.7,33,1200
The Whisky Bar & Brewpub,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"Finger Food,  North Indian,  Italian,  Chinese,  Continental,  Fast Food",4.2,113,2500
Fabcafe by Fabindia,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"Health Food,  Modern Indian,  North Indian,  Continental",4.4,31,1200
Chef's On Fire,"Sector 21C, Faridabad", Faridabad,Noida,"Fast Food,  Shakes",4.5,2,600
Tama Brewery & World Kitchen,"Sector 16, Faridabad", Faridabad,Noida,"Finger Food,  North Indian,  Italian,  Oriental ",4.2,401,2200
Mystery Of Bar,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"Italian,  Chinese,  North Indian,  Continental,  Asian",3.6,23,1500
Ladera,"Clarens Hotel,Sector 29, Gurgaon", Gurgaon,Gurgaon,"Multi-Cuisine,  Italian,  Continental,  Mediterranean,  Greek",4.6,27,4000
Veranda,"Park Plaza Faridabad,Sector 21C, Faridabad", Faridabad,Noida,"North Indian,  Continental,  Asian",4.1,97,3000
Gung The Palace,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"Korean,  Seafood",4.4,21,2500
Berco's,"Central Plaza Mall,Golf Course Road, Gurgaon", Gurgaon,Gurgaon,"Chinese,  Thai",4.1,277,1300
Sagar Ratna,"Sector 135, Noida", Noida,Noida,"South Indian,  North Indian,  Chinese",3.8,4,900
Raise The Bar- Rooftop Lounge,"Clarens Hotel,Sector 29, Gurgaon", Gurgaon,Gurgaon,"Italian,  Continental,  European",4.4,121,3300
Spice It,"Ibis Hotel,Sector 53, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Chinese,  Fast Food",3.9,64,1500
The Piano Man,"32nd Avenue,Sector 15, Gurgaon", Gurgaon,Gurgaon,"European,  Asian",3.9,65,1500
Chaayos,"Central Plaza Mall,Golf Course Road, Gurgaon", Gurgaon,Gurgaon,"Street Food,  Tea,  Fast Food",4.3,23,500
Cafe G,"Crowne Plaza Gurgaon,Sector 29, Gurgaon", Gurgaon,Gurgaon,"Multi-Cuisine,  Italian,  Chinese,  Continental,  European,  Fast Food,  Indian Cuisine",4.2,108,4500
Kathi Cartel,"Super Mart 1,DLF Phase - 4, Gurgaon", Gurgaon,Gurgaon,"Fast Food,  North Indian,  Lebanese",2.0,4,700
Sandhouse Cafe,"32nd Avenue,Sector 15, Gurgaon", Gurgaon,Gurgaon,"Italian,  American",4.4,203,1000
The Brew Bar,"Radisson Gurugram Udyog Vihar,Udyog Vihar, Gurgaon", Gurgaon,Gurgaon,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4.2,4,2200
The Burger Club,"Sector 14, Gurgaon", Gurgaon,Gurgaon,"Burger,  Fast Food",5.0,1,600
Daddy of Tastes,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Chinese,  Continental",3.1,11,1300
RYU BAR,"32nd Avenue,Sector 15, Gurgaon", Gurgaon,Gurgaon,"Chinese,  Thai,  Asian,  Finger Food,  Desserts",4.0,73,2000
Bottles and Barrels,"Star Tower,Sector 30, Gurgaon", Gurgaon,Gurgaon,"Asian,  Multi-Cuisine,  North Indian,  Italian",3.6,123,1800
Mogli's Coffee,"Sector 67, Gurgaon", Gurgaon,Gurgaon,"Italian,  Continental,  American,  Fast Food,  Desserts",5.0,1,800
Chaayos,"Sector 14, Gurgaon", Gurgaon,Gurgaon,"Street Food,  Tea,  Fast Food",4.4,4,500
"Unlocked - Bar, Kitchen and Escape Room","32nd Avenue,Sector 15, Gurgaon", Gurgaon,Gurgaon,"Italian,  Continental,  Shakes",4.2,113,1900
CAD (ctrl+alt+del) Tech Bar,"32nd Avenue,Sector 15, Gurgaon", Gurgaon,Gurgaon,"Modern Indian,  North Indian,  Italian,  Oriental ",4.2,159,2200
Catalyst Gastrobar,"Sector 16, Faridabad", Faridabad,Noida,"Multi-Cuisine,  North Indian,  Italian,  European,  Oriental ",4.1,149,1000
TNG Restaurant,"Kavi Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"North Indian,  Chinese",4.6,6,1200
Jamie's Pizzeria By Jamie Oliver,"Ardee Mall,Ardee City, Gurgaon", Gurgaon,Gurgaon,"Italian,  Pizza",4.4,42,2000
Taco Bell,"Ardee Mall,Ardee City, Gurgaon", Gurgaon,Gurgaon,"Mexican,  Tex Mex,  Tex Mex",4.2,32,500
The Sky Patio,"81 High Street,Sector 81, Faridabad", Faridabad,Noida,"North Indian,  Italian,  Chinese",4.3,260,1300
Pintxo - Tapas Bar,"32nd Avenue,Sector 15, Gurgaon", Gurgaon,Gurgaon,"Spanish,  Italian",4.2,82,2500
Bizibean,"DLF Star Mall,Sector 30, Gurgaon", Gurgaon,Gurgaon,"Fast Food,  Coffee,  Tea",5.0,1,500
Sparsa Cafe,"Star Tower,Sector 30, Gurgaon", Gurgaon,Gurgaon,"Italian,  Fast Food",5.0,2,500
Cafe Delhi Heights,"Good Earth City Centre Mall,Sector 50, Gurgaon", Gurgaon,Gurgaon,"Modern Indian,  Italian,  Continental,  American",4.5,198,2000
Krispy Kreme,"Ardee Mall,Ardee City, Gurgaon", Gurgaon,Gurgaon,"Desserts,  Doughnuts",4.1,20,400
Brewocrat - Brewery Skybar & Kitchen,"Elements One Mall,Sector 49, Gurgaon", Gurgaon,Gurgaon,"Multi-Cuisine,  North Indian,  Continental,  Mediterranean,  Asian,  Oriental ,  Finger Food",4.5,550,2000
Rule The Rolls,"32nd Avenue,Sector 15, Gurgaon", Gurgaon,Gurgaon,Fast Food,4.5,2,800
Chaayos,"Ardee Mall,Ardee City, Gurgaon", Gurgaon,Gurgaon,"Street Food,  Tea,  Fast Food",3.3,4,500
The Groove,"Sector 15, Gurgaon", Gurgaon,Gurgaon,"European,  Asian,  American",4.3,6,1700
Barbeque 29,"NIT, Faridabad", Faridabad,Noida,"North Indian,  Chinese,  Barbecue",4.3,169,1500
Bollywood Tadka,"Sector 31, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Chinese,  Mughlai,  Fast Food",5.0,1,800
Backbenchers HQ by Cafetieres,"Sector 16, Faridabad", Faridabad,Noida,"Multi-Cuisine,  North Indian,  Italian,  Oriental ",4.2,115,1500
Pepper Pot - The Terrace Cafe,"Sector 56, Gurgaon", Gurgaon,Gurgaon,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Fast Food",4.0,53,1000
Mughal-Fe by Crepe-Fe,"Ardee City, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Mughlai",5.0,1,900
La Vera Pizzeria,"Sector 31, Gurgaon", Gurgaon,Gurgaon,Pizza,4.1,12,800
Barbeque Nation,"EF3 Mall,Sector 20, Faridabad", Faridabad,Noida,"North Indian,  Barbecue,  Mughlai",4.5,162,1700
Heritage - The Fine Dine,"Sector 15, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Chinese",4.3,80,1500
Punjab Street,"NIT, Faridabad", Faridabad,Noida,North Indian,4.5,16,900
Brew-Berry,"NIT, Faridabad", Faridabad,Noida,"Fast Food,  Burger",4.7,9,600
Chapter Twelve,"Sector 12, Faridabad", Faridabad,Noida,"North Indian,  Continental,  Asian,  Multi-Cuisine",4.2,244,2400
Stormborn,"Sector 16, Faridabad", Faridabad,Noida,"Fast Food,  Pizza,  Italian",4.3,3,1600
Zosse,"Crown Plaza Mall,Sector 15A, Faridabad", Faridabad,Noida,"North Indian,  Chinese,  Fast Food",4.5,29,2500
Fiery Grillss,"Crown Plaza Mall,Sector 15A, Faridabad", Faridabad,Noida,"North Indian,  Chinese,  Continental,  Mughlai",4.4,42,1200
Mosaic,"Crowne Plaza Greater Noida,Surajpur, NCR Greater Noida", NCR Greater Noida,Noida,"Continental,  North Indian",4.3,73,3000
ABC Biryani Wala,"NIT, Faridabad", Faridabad,Noida,Biryani,5.0,1,300
Cafe Parmesan,"Sector 15, Faridabad", Faridabad,Noida,"Italian,  Pizza",4.5,121,1500
Oriental Fusion,"DLF Phase - 4, Gurgaon", Gurgaon,Gurgaon,"Oriental ,  Chinese,  Thai",4.6,38,1000
Tap House Brewpub and Kitchen,"Good Earth City Centre Mall,Sector 50, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Italian,  Chinese",4.0,109,1900
Ambarsari Chowk,"Baani Square,Sector 50, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Mughlai",4.2,119,1500
Fat Butterfly Bakery And Cafe,"Baani Square,Sector 50, Gurgaon", Gurgaon,Gurgaon,"Italian,  Desserts,  Fast Food",4.5,45,1000
Oriental Fusion,"Baani Square,Sector 50, Gurgaon", Gurgaon,Gurgaon,"Oriental ,  Chinese,  Thai",4.3,28,1000
Coastal Reef,"Baani Square,Sector 50, Gurgaon", Gurgaon,Gurgaon,"South Indian,  Andhra,  Kerala,  Seafood",4.3,84,1200
Cafe Grub Up,"Sector 15, Faridabad", Faridabad,Noida,"Fast Food,  Italian,  Chinese,  Thai,  Mexican,  American",4.0,32,600
Mr Ohashi,"Sector 14, Faridabad", Faridabad,Noida,Asian,5.0,2,1200
Pop's Barbacoa,"Sohna Road, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Continental,  Chinese,  Mexican,  Oriental ",4.5,162,1500
Hn'ny Pizzeria,"Narela, North Delhi", North Delhi,Delhi,"Pizza,  Fast Food",3.3,3,400
Barbeque Nation,"Spaze Platinum Tower,Sector 47, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Barbecue,  Mughlai",4.5,202,1700
Green House - The Beer Garden,"Eros City Square,Sector 49, Gurgaon", Gurgaon,Gurgaon,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Mexican,  Mediterranean,  European,  Oriental ",4.5,836,2100
Cafe Underworld,"Sector 14, Faridabad", Faridabad,Noida,"Fast Food,  North Indian",4.1,8,1000
Chaayos,"Good Earth City Centre Mall,Sector 50, Gurgaon", Gurgaon,Gurgaon,"Street Food,  Tea,  Fast Food",4.0,27,500
Krua Thai,"M3M Urbana,Sector 67, Gurgaon", Gurgaon,Gurgaon,"Thai,  Asian",4.5,10,1800
Broadway,"Radisson Blu Faridabad,Sector 20, Faridabad", Faridabad,Noida,"Multi-Cuisine,  North Indian,  Italian,  Continental,  American",4.2,52,3500
Urban Pind Restaurant,"NIT, Faridabad", Faridabad,Noida,North Indian,3.9,19,500
Naivedyam,"Sohna Road, Gurgaon", Gurgaon,Gurgaon,South Indian,4.4,412,500
Hunger Cure,"Sector 14, Faridabad", Faridabad,Noida,"Fast Food,  Chinese",3.5,8,500
The Master Kitchen,"81 High Street,Sector 81, Faridabad", Faridabad,Noida,"Fast Food,  Chinese,  Shakes",5.0,3,700
Pizzaiolo,"Eros City Square,Sector 49, Gurgaon", Gurgaon,Gurgaon,"Italian,  Pizza",5.0,2,800
Dhaba Junction,"Sector 12, Faridabad", Faridabad,Noida,"North Indian,  Chinese,  South Indian,  Fast Food",4.0,44,1000
Jacket Aloo,"Eros City Square,Sector 49, Gurgaon", Gurgaon,Gurgaon,Fast Food,4.4,7,600
Houz Cafe Bar,"Sector 65, Gurgaon", Gurgaon,Gurgaon,"World Cuisine,  Italian,  Mediterranean,  French,  Lebanese,  Indian Cuisine",5.0,1,2200
Spicy Tadka,"Sector 10, Faridabad", Faridabad,Noida,"North Indian,  Chinese,  Mughlai",4.5,26,800
The Brewhouse - Brewery,"Radisson Hotel Gurugram Sohna Road City Center,Sector 49, Gurgaon", Gurgaon,Gurgaon,"Continental,  North Indian,  Finger Food",4.5,97,1500
The Coffizza,"Sector 81, Faridabad", Faridabad,Noida,"Italian,  Fast Food,  Coffee",3.8,2,600
California Burrito,"Vatika Business Centre,Sector 49, Gurgaon", Gurgaon,Gurgaon,Mexican,4.6,61,700
Cafe Central,"Radisson Hotel Gurugram Sohna Road City Center,Sector 49, Gurgaon", Gurgaon,Gurgaon,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Asian",3.8,115,3500
Chaayos,"Sohna Road, Gurgaon", Gurgaon,Gurgaon,"Street Food,  Tea,  Fast Food",4.8,8,500
Minnie's Kitchen,"Sector 79, Faridabad", Faridabad,Noida,"North Indian,  Chinese,  Fast Food",3.8,14,400
Zaika 7,"Sector 11, Faridabad", Faridabad,Noida,"North Indian,  Chinese",4.2,14,700
Hunger Cure,"Omaxe World Street,Sector 79, Faridabad", Faridabad,Noida,"Fast Food,  Chinese",2.7,3,500
Coffee Ville,"Sohna Road, Gurgaon", Gurgaon,Gurgaon,"Coffee,  Health Food",1.0,1,400
Stop My Starvation,"Sohna Road, Gurgaon", Gurgaon,Gurgaon,"Desserts,  Fast Food,  Shakes,  Waffle",5.0,1,600
Barbeque Nation,"Omaxe Connaught Place Mall,Beta 2, NCR Greater Noida", NCR Greater Noida,Noida,"North Indian,  Barbecue,  Mughlai",4.4,156,1700
Sagar Ratna,"Omaxe City Centre,Omega 1, NCR Greater Noida", NCR Greater Noida,Noida,"South Indian,  North Indian,  Chinese",4.2,14,900
Legends Of India By Savoy Suites,"Knowledge Park, NCR Greater Noida", NCR Greater Noida,Noida,"North Indian,  Biryani",4.3,10,1500
Food Frolic,"Sector 83, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Chinese,  Continental,  Mediterranean",4.1,119,1600
Kitchen District,"Sector 83, Gurgaon", Gurgaon,Gurgaon,"Multi-Cuisine,  North Indian,  Continental,  Japanese,  Asian",4.3,172,3000
Dagrooz,"Sapphire 83 Mall,Sector 83, Gurgaon", Gurgaon,Gurgaon,"Multi-Cuisine,  North Indian,  Chinese",4.4,4,700
Bikkgane Biryani,"The Grand Venice Mall,Surajpur Site 4, NCR Greater Noida", NCR Greater Noida,Noida,"Biryani,  North Indian",3.7,10,1100
Yummy Tummy Corner,"Sapphire 83 Mall,Sector 83, Gurgaon", Gurgaon,Gurgaon,North Indian,4.5,2,400
Awesum Dimsum,"Sector 83, Gurgaon", Gurgaon,Gurgaon,Chinese,3.7,6,800
Under The Neem,"NH 8, Gurgaon", Gurgaon,Gurgaon,Continental,4.6,146,1500
