address,area,city,state,country,hotel_star_rating,pageurl,property_name,property_type,site_review_rating
16/j Ottley Road   Near Botanical Garden,Garden Road,Ooty,Tamil Nadu,India,1,http://www.goibibo.com/hotels/detail/Ooty/hn/889033689324744753/8370218828561057856/na/hq/,Cliff GK Residency,Hotel,4.7
"1/1506-A, Bishop Kureethara Rd, Amaravathy, Fort Kochi, Kochi, Kerala 682001",Fort Kochi,Ernakulam,Kerala,India,0,http://www.goibibo.com/hotels/detail/Ernakulam/hn/8210666562286566619/5611953011332864424/na/hq/,DALIYA HOMESTAY,Homestay,
"#99, KH Road/ Double Road",Lal Bagh Botanical Gardens,Bangalore,Karnataka,India,1,http://www.goibibo.com/hotels/detail/Bangalore/hn/6771549831164675055/2349729421552204459/na/hq/,Deva Residency,Hotel,
Bird Line Junction,Others,Port Blair,Andaman and Nicobar Islands,India,0,http://www.goibibo.com/hotels/detail/Port Blair/hn/4221994537604741770/699574027839998410/na/hq/,De Meadows Resort,Resort,3.3
"north Cliff, Thiruvambadi Road,, varkala, thiruvanathapuram, Kerala 695141",Thiruvambadi Road,Varkala,Kerala,India,0,http://www.goibibo.com/hotels/detail/Varkala/hn/4947247049944326597/3272782734295977656/na/hq/,Cliffgarden beach resort,Hotel,
"Next to Obetel grande resort, Gold valley road, Tungarli , Lonavala",Tungarli Lake Area,Lonavala,Maharashtra,India,0,http://www.goibibo.com/hotels/detail/Lonavala/hn/2562341919299046803/2749749573281591891/na/hq/,Denaco Pearl Bungalow,Bungalow,
"No. S-207 2nd Floor TRIENETRA RETREA Pipeline road Behind RNS Motors Ragavendra Colony YESHWANTPUR,BANGALORE",Yeshwanthpur,Bangalore,Karnataka,India,0,http://www.goibibo.com/hotels/detail/Bangalore/hn/6771549831164675055/1871432205451627907/na/hq/,DEEYASUITES,Service Apartment,
"Apna Cottage , Kanyal Road, opp sixth element, Simsa, Manali HP",Kanyal Road,Manali,Himachal Pradesh,India,0,http://www.goibibo.com/hotels/detail/Manali/hn/2242315224277940906/3250008271997875428/na/hq/,Cibori Gold,Cottage,4.8
"Zalor, Fatrade ,Near Goa Renaissance Hotel,",Varca Area,Goa,Goa,India,3,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/5456613609259563218/na/hq/,Colonia Jose Menino Resort,Resort,3.5
"Coorg O-Farm Chembebeloor Coorg District Karnataka State, India",Virajpet,Coorg,Karnataka,India,2,http://www.goibibo.com/hotels/detail/Coorg/hn/6624397033787067229/7710916043609681695/na/hq/,coorg o farm,Homestay,1.6
"330/3,PREM NAGAR,BUS TAND-MATA ROAD",Old Gurgaon,Gurgaon,Haryana,India,3,http://www.goibibo.com/hotels/detail/Gurgaon/hn/1466927038870613796/1137072935865066695/na/hq/,CYBER INN,Hotel,3.5
Opposite KSRTC Bus Stand,,Alleppey,Kerala,India,0,http://www.goibibo.com/hotels/detail/Alleppey/hn/31335703284729576/4201673227399216818/na/hq/,cruisewithchris,Houseboat,
"H. no 331, Divanbag, Dhavalkhazan, Agonda, Canacona south Goa.",Palolem Beach Area,Goa,Goa,India,0,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/1369551312321331777/na/hq/,Cupid's Heaven Resort,Guest House,2.3
"Samarth Nagar, At Post Diveagar,Dist. Raigad",Diveagar Beach,Diveagar,Maharashtra,India,0,http://www.goibibo.com/hotels/detail/Diveagar/hn/2148788444282385034/6724406077197151642/na/hq/,Cocohut Resort,Resort,4
"Row house no. 4,  opp forteliza, kalyani nagar",Koregaon park,Pune,Maharashtra,India,1,http://www.goibibo.com/hotels/detail/Pune/hn/1554245012668028405/5445749907083006179/na/hq/,Comfort Solution Bunglow,Hotel,
"Deejay By One Earth Dhaliara, Near Heritage Village Pragpur, NH 503, Dharamshala Road, District Kangra, Himachal Pradesh - 177103",Pragpur,Kangra,Himachal Pradesh,India,3,http://www.goibibo.com/hotels/detail/Kangra/hn/2482023231421888996/8428028272983588940/na/hq/,Deejay By One Earth,Hotel,4.1
"N.J.P Railway Station Main Road , South Deshbandhupara, Siliguri, West Bengal 734004, India",Others,Siliguri,West Bengal,India,0,http://www.goibibo.com/hotels/detail/Siliguri/hn/1076703141543671718/2377797150610245247/na/hq/,Classic Lodge,Lodge,3.2
"VPO Bir, Tehsil Baijnath District Kangra Himachal Pradesh- 176077 India",Vpo Bir,Kangra,Himachal Pradesh,India,1,http://www.goibibo.com/hotels/detail/Kangra/hn/2482023231421888996/2846090531545713159/na/hq/,COLONELS RESORTS,Hotel,
"1703/1704 Trendy Towers, Amanora Park Town, behind amanora mall",Hadapsar,Pune,Maharashtra,India,0,http://www.goibibo.com/hotels/detail/Pune/hn/1554245012668028405/80114877421645977/na/hq/,Clover Home Service Apt,Service Apartment,4.1
"Dasavala Road, Madikeri",Madikeri,Coorg,Karnataka,India,1,http://www.goibibo.com/hotels/detail/Coorg/hn/6624397033787067229/2196837909531675651/na/hq/,Coffee Coorg Nest,Homestay,
"60, Aravat Voklu Road, Mekeri Village, Talata Mane - Post, Madikeri",Madikeri,Coorg,Karnataka,India,3,http://www.goibibo.com/hotels/detail/Coorg/hn/6624397033787067229/6852007875171466135/na/hq/,Cynosure Resort,Resort,3.5
"Aalthara junction,Chithirapuram P.o,Idukki District",Chithirapuram,Munnar,Kerala,India,0,http://www.goibibo.com/hotels/detail/Munnar/hn/1780299204263085384/6832605980982536528/na/hq/,Corner stone Munnar,Homestay,
"MD-34, Eldeco Mensionz, Opposite Omaxe City Centre, Sohna Road, Sector- 48",Sohna Road,Gurgaon,Haryana,India,0,http://www.goibibo.com/hotels/detail/Gurgaon/hn/1466927038870613796/2856434235234463600/na/hq/,"Cinnamon Homestay, Sohna Road",Homestay,4.8
"Unchakada P.O Poovar, Thiruvananthapuram",Village Poovar,Kovalam,Kerala,India,4,http://www.goibibo.com/hotels/detail/Kovalam/hn/6593905156853734893/302083659441759793/na/hq/,Club Mahindra Poovar,Resort,2.8
Fort oasis 36 B Panditia Road Block No 5 Gariahat Triangular Park,Rabindrasarovar Area,Kolkata,West Bengal,India,0,http://www.goibibo.com/hotels/detail/Kolkata/hn/2066465017672827882/4052436776279850116/na/hq/,Corporate Living,Service Apartment,1
"Near Godde Hossur circle, Dubari road",KUSHALNAGAR,Coorg,Karnataka,India,0,http://www.goibibo.com/hotels/detail/Coorg/hn/6624397033787067229/72254536256556002/na/hq/,Coorg Anekad Jungle stay,Hotel,
"Anishka Plantation, Yelagudige Village, Kelgur Post. Aldur Hobli, Chikkamagaluru 577111",Yelagudige Village,Chikmagalur,Karnataka,India,2,http://www.goibibo.com/hotels/detail/Chikmagalur/hn/4801527334652294087/1589204564973920756/na/hq/,Coffeegrove Resort,Resort,4.5
"F 84-86, RIICO Growth Centre, Ph-2, Maval, Abu Road, NH-27",Abu Road,Mount Abu,Rajasthan,India,2,http://www.goibibo.com/hotels/detail/Mount Abu/hn/9195262341727064608/4985068010101561211/na/hq/,Country Yard Resort (30 kms from Mount Abu),Resort,3.4
"Besides Damanganga River, Opp: Vandhara Garden, Naroli Road,",Naroli Road,Silvassa,Dadra and Nagar Haveli,India,4,http://www.goibibo.com/hotels/detail/Silvassa/hn/3264184141358025948/8855046055608721822/na/hq/,Daman Ganga Valley Resort,Resort,3.6
"Maharana Pratap Marg, Kumbalgarh, Kelwara",Maharana Pratap Marg,kumbalgarh,Rajasthan,India,4,http://www.goibibo.com/hotels/detail/kumbalgarh/hn/888888881382684942/372046956317890019/na/hq/,Club Mahindra Kumbhalgarh,Resort,4
"4/295,baluganj,agra",The Mall,Agra,Uttar Pradesh,India,0,http://www.goibibo.com/hotels/detail/Agra/hn/2049835366479118179/4632888816640383889/na/hq/,D. R. Residency,Hotel,3.5
"Dhikuli,Ramnagar","Zero Garjia, Dhikuli",Corbett,Uttarakhand,India,3,http://www.goibibo.com/hotels/detail/Corbett/hn/6612277265847855481/2844216438902386422/na/hq/,Corbett Jungle Treasure,Resort,3.4
"Near Thethana Temple, Thekkumthara, Kerala",Others,Wayanad,Kerala,India,1,http://www.goibibo.com/hotels/detail/Wayanad/hn/6194322623629521587/4229276122170013066/na/hq/,Chyavana Ayur Retreat,Homestay,
"Near sudarshan circle, Mysore road Madikeri",Madikeri,Coorg,Karnataka,India,0,http://www.goibibo.com/hotels/detail/Coorg/hn/6624397033787067229/6237914799938715856/na/hq/,Coffee Cottage,Homestay,
11/1 jessore road madhyamgram barasat,"Airport Zone, Dum Dum",Kolkata,West Bengal,India,0,http://www.goibibo.com/hotels/detail/Kolkata/hn/2066465017672827882/8046944759756862502/na/hq/,Classic Hotel &amp; Restaurant,Hotel,
"Near Adikadalayi Temple, Kannur, Kerala",Thottada Beach,Kannur,Kerala,India,0,http://www.goibibo.com/hotels/detail/Kannur/hn/2239235443641646617/6374253394910504661/na/hq/,Costa Malabari,Guest House,
"NH-08, Near Rajokari Toll Plaza, New Delhi-110037","Delhi Airport, Mahipalpur, Aerocity",Delhi,Delhi,India,4,http://www.goibibo.com/hotels/detail/Delhi/hn/2820046943342890302/4626199219085190864/na/hq/,City Park Airport - A Boutique Hotel,Hotel,3.1
Rajiv Gandhi Nagar Near Vishranti Port Blair,Others,Port Blair,Andaman and Nicobar Islands,India,1,http://www.goibibo.com/hotels/detail/Port Blair/hn/4221994537604741770/1438211679605204724/na/hq/,Coastal Breeze,BnB,
B- 71 Sector 93B,Others,Noida,Uttar Pradesh,India,1,http://www.goibibo.com/hotels/detail/Noida/hn/2311763083662248959/6388851992431649082/na/hq/,Daisy Home,Hotel,4.5
"OPP AXIS BANK, NEAR HOTEL HOWARD PARK PLAZA,Fatehabad Road, I",Fatehabad Road,Agra,Uttar Pradesh,India,3,http://www.goibibo.com/hotels/detail/Agra/hn/2049835366479118179/8887590606649363848/na/hq/,Crystal Retreat,Hotel,3.9
"34, Cunningham Road",City Center - MG Road / Near,Bangalore,Karnataka,India,4,http://www.goibibo.com/hotels/detail/Bangalore/hn/6771549831164675055/7055195765113868508/na/hq/,Citrus Cunningham Road Bangalore,Hotel,4.5
"No.203, Sindhu amazon apartments, Bellandur,Outer ring road.",Marathahalli,Bangalore,Karnataka,India,0,http://www.goibibo.com/hotels/detail/Bangalore/hn/6771549831164675055/9177096365697169554/na/hq/,Cosmos Guest Homes - Bellandur,Guest House,3.3
"5, Nathupur Road, Near Neelkanth Hospital, DLF Phase-III (Near Metro Pillar No. 25) Gurgaon - 122002",Dlf Phase I I I,Gurgaon,Haryana,India,0,http://www.goibibo.com/hotels/detail/Gurgaon/hn/1466927038870613796/3793384611501910523/na/hq/,Cyber City Hotels,Hotel,2
"Village Dhikauli, Ranikhet Road","Zero Garjia, Dhikuli",Corbett,Uttarakhand,India,4,http://www.goibibo.com/hotels/detail/Corbett/hn/6612277265847855481/6991830459902253603/na/hq/,"CORBETT AROMA PARK,CORBETT",Resort,3.7
"Kasaragod Ho, Opp Head Post Office",Thrikkaripur,Kasaragod,Kerala,India,0,http://www.goibibo.com/hotels/detail/Kasaragod/hn/592789400997420247/7066663403485442692/na/hq/,Deira city Residency Hotel,Hotel,
jammu Katra Highway Village Magal Distt.,Jammu Road,Katra,Jammu and Kashmir,India,4,http://www.goibibo.com/hotels/detail/Katra/hn/4084082672692346641/4007622273025973545/na/hq/,Country Inn and Suites By Carlson Vaishnodevi,Hotel,4.7
"Karunagappally North, Kollam Kerala",Karunagappally North,Kollam,Kerala,India,0,http://www.goibibo.com/hotels/detail/Kollam/hn/9181313283980120876/8190916606652824766/na/hq/,Comfort Regency Hotel,Hotel,
PO and Village Raghudevpur Opposite Raghudevpur Gram Panchayat Office Domjur Bauria Road,Howrah,Kolkata,West Bengal,India,3,http://www.goibibo.com/hotels/detail/Kolkata/hn/2066465017672827882/3129305114266353137/na/hq/,Country Roads,Resort,3.8
"#2, 1st Main, HRBR Layout 2nd Block, Kalyan Nagar",Kammanahalli,Bangalore,Karnataka,India,0,http://www.goibibo.com/hotels/detail/Bangalore/hn/6771549831164675055/2549931939176697306/na/hq/,Credora Inn,Service Apartment,
"29-49 Baikey road, Off Ettinnes Road Ooty",Race Course Area,Ooty,Tamil Nadu,India,4,http://www.goibibo.com/hotels/detail/Ooty/hn/889033689324744753/9072009110243388560/na/hq/,Club Mahindra Derby Green,Resort,3.8
"Behind Kamat Holiday Homes , After Art Chamber , Gaurawaddo Calangute Goa",Calangute Area,Goa,Goa,India,3,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/6739839865747118867/na/hq/,De Sai Palace,Hotel,3.9
"COCOON HOTEL,Magarpatta City, Hadapsar,Pune.",Hadapsar,Pune,Maharashtra,India,4,http://www.goibibo.com/hotels/detail/Pune/hn/1554245012668028405/5735312250261960686/na/hq/,Cocoon Hotel,Hotel,4.6
"202,Pavilion 1 ,Near Eon IT park Kharadi,Pune",Viman Nagar,Pune,Maharashtra,India,0,http://www.goibibo.com/hotels/detail/Pune/hn/1554245012668028405/5875144835110776922/na/hq/,Cosmos Luxury Kharadi,Service Apartment,3.8
"NH-Highway,Near Mahipalpur Redlight Mahipalpur Extn.New delhi","Delhi Airport, Mahipalpur, Aerocity",Delhi,Delhi,India,3,http://www.goibibo.com/hotels/detail/Delhi/hn/2820046943342890302/7989455432229541411/na/hq/,Christy Rooms,Hotel,4.5
"Cosme Gregory Soares, Villa Alisha next to Joia Do Mar Resort, Porba Vaddo, Calangute - Arpora Road, Calangute",Calangute Area,Goa,Goa,India,0,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/8620564998795237731/na/hq/,Cosmos Apartment Calangute II,Homestay,
"19 B, shiv ji marg, westend green",Vasant Kunj,Delhi,Delhi,India,0,http://www.goibibo.com/hotels/detail/Delhi/hn/2820046943342890302/7631639957633339111/na/hq/,Craft village,Farm Stay,
"Plot No 41, Behind Westend Mall,Kaushambi",Kaushambi,Ghaziabad,Uttar Pradesh,India,3,http://www.goibibo.com/hotels/detail/Ghaziabad/hn/1930868727827802776/6851201724089553572/na/hq/,Clarks Inn Kaushambi,Hotel,2.8
"1068,25th main, 15th cross , B.S.K 2 Nd stage",Jayanagar,Bangalore,Karnataka,India,0,http://www.goibibo.com/hotels/detail/Bangalore/hn/6771549831164675055/7620795515348697504/na/hq/,Clover Suites,Service Apartment,
Hawah Beach,Kovalam Beach,Kovalam,Kerala,India,2,http://www.goibibo.com/hotels/detail/Kovalam/hn/6593905156853734893/966311314889923584/na/hq/,Cosmic Leisure Resort,Resort,
"6 PARK ROAD, CIVIL LINES, GOLGHAR",Golghar,Gorakhpur,Uttar Pradesh,India,0,http://www.goibibo.com/hotels/detail/Gorakhpur/hn/2496493766324838012/5656150238773877819/na/hq/,CLARKS GRAND,Hotel,3
"Near Ram Nursery, Mudigere Highway, Kelagur",Kadabagere,Chikmagalur,Karnataka,India,0,http://www.goibibo.com/hotels/detail/Chikmagalur/hn/4801527334652294087/1447231620172364696/na/hq/,Coffee Land Homestay,Homestay,2.8
Near Sholayar Dam.,Sholayar Dam,Valparai,Tamil Nadu,India,1,http://www.goibibo.com/hotels/detail/Valparai/hn/5249758188853704901/3551907041459749509/na/hq/,Deepikas Garden Residence,Resort,3
Nangala village bittangala post,Virajpet,Coorg,Karnataka,India,0,http://www.goibibo.com/hotels/detail/Coorg/hn/6624397033787067229/7047654003420145351/na/hq/,Coorg KoteKaad Dreams,Homestay,4.7
"#1755, Veerpulakeshi Circle,  Badami Main Road","Veerpulakeshi Circle,Badami Main Road",Badami,Karnataka,India,3,http://www.goibibo.com/hotels/detail/Badami/hn/767346164151916001/4610605077725286780/na/hq/,"Clarks Inn, Badami",Hotel,4.2
Mandrekar colony nagon raigad alibaug maharashtra,Nagaon,Alibag,Maharashtra,India,0,http://www.goibibo.com/hotels/detail/Alibag/hn/5342984967352266322/6139642211582800276/na/hq/,Dalvi villa,Villa,
"Joshimath, District chamoli",Skiing Village,Auli,Uttarakhand,India,4,http://www.goibibo.com/hotels/detail/Auli/hn/5542574512537225631/4063339620354524878/na/hq/,Cliff Top Club Resort,Resort,3.1
"Ladua, Ranikhet Road, Dhikuli, Ramnagar, Garjia","Zero Garjia, Dhikuli",Corbett,Uttarakhand,India,0,http://www.goibibo.com/hotels/detail/Corbett/hn/6612277265847855481/3850193330471935721/na/hq/,Corbett Tiger huts,Resort,3.1
"House no 226,Gaura Vaddo,opp lane of  Sharanam Green Hotel,calangute,bardez,",Candolim Area,Goa,Goa,India,0,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/8896115005494471385/na/hq/,Coelho Guest House,Guest House,
"Punnamada lake, Alleppy",Finishing Point Road,Alleppey,Kerala,India,3,http://www.goibibo.com/hotels/detail/Alleppey/hn/31335703284729576/5208017490568626718/na/hq/,Danladic Houseboat,Houseboat,4
"Plot No. 31 Edc Patto Plaza, Panjim",Malaca Road,Panaji,Goa,India,4,http://www.goibibo.com/hotels/detail/Panaji/hn/4242373304260549641/1827344721094996497/na/hq/,Country Inn and  Suites By Carlson Goa Panjim,Hotel,4
"6-3-1219/A, Kundan Bagh Road, Uma Nagar, Beside Begumpet Railway Station, Begumpet, Hyderabad, Telangana",Begumpet,Hyderabad,Andhra Pradesh,India,3,http://www.goibibo.com/hotels/detail/Hyderabad/hn/2162254155836171767/8749986015367559404/na/hq/,Country Club  Begumpet,Hotel,2.7
"#4-5-423, Shamshiri Estate, Beside Krishna Childrens Hospital, Lakdikapul",Nampally,Hyderabad,Andhra Pradesh,India,1,http://www.goibibo.com/hotels/detail/Hyderabad/hn/2162254155836171767/333335454456042510/na/hq/,Deccan Classic Residency,Service Apartment,
"166,MLA Layout, 80 Feet Road, R T Nagar Main Road,",Kempegowda International Airport,Bangalore,Karnataka,India,3,http://www.goibibo.com/hotels/detail/Bangalore/hn/6771549831164675055/4718574816514663671/na/hq/,Coral Tree,Hotel,4.1
"At Post Ganpatipule,Near Ganpatipule S.T. Stand,",Others,Ganpatipule,Maharashtra,India,1,http://www.goibibo.com/hotels/detail/Ganpatipule/hn/1878646129688888888/3365558479927364885/na/hq/,Daryasarang Palace,Hotel,
"Ranikhet Road, Jim Corbett Park, Ramnagar, Uttaranchal, India","Zero Garjia, Dhikuli",Corbett,Uttarakhand,India,0,http://www.goibibo.com/hotels/detail/Corbett/hn/6612277265847855481/5077907033451004479/na/hq/,Corbett Moon Resort,Hotel,
"B-751, Sushant lok 1, 122002 Gurgaon. Behind Courtyard Marriott Hotel.",Sushant Lok,Gurgaon,Haryana,India,0,http://www.goibibo.com/hotels/detail/Gurgaon/hn/1466927038870613796/1081666647457076451/na/hq/,Dahleez-A Boutique Hotel,Hotel,3.7
"Choral Dam, Thana Badgonda, Tehsil Mhow, BADGONDA",Old AB Road,Mhowgaon,Madhya Pradesh,India,0,http://www.goibibo.com/hotels/detail/Mhowgaon/hn/1137092208149721556/1776996716172676035/na/hq/,Choral Resort,Resort,
"Darbargadh Palace,near jhulta pool. Morbi","End Of Over Bridge, Morbi",Morbi,Gujarat,India,0,http://www.goibibo.com/hotels/detail/Morbi/hn/8531493646888892208/914001567093735527/na/hq/,Darbargadh Palace  by Heritage Villas,Hotel,
"No. 139, 5th Cross, 17th Main, Koramangala 5th Block",Koramangala,Bangalore,Karnataka,India,1,http://www.goibibo.com/hotels/detail/Bangalore/hn/6771549831164675055/6631745629925387378/na/hq/,Compact- Tea Pavilion,Hotel,
"HBN Sunrise City, Mansa Road",Hbn Sunrise City Mansa Road,Bathinda,Punjab,India,4,http://www.goibibo.com/hotels/detail/Bathinda/hn/3446083761823029111/7667061177308096280/na/hq/,Country Inn and Suites By Carlson Bathinda,Hotel,4.5
"Themezie, High School Road",kohima Nagaland,Kohima,Nagaland,India,1,http://www.goibibo.com/hotels/detail/Kohima/hn/5206302978994185920/2703009712365936636/na/hq/,De Oriental Grand,Hotel,
bhalawog po janed ghat thesil junga shimla,Village Jungle Bhalawag,Chail,Himachal Pradesh,India,0,http://www.goibibo.com/hotels/detail/Chail/hn/5381678877017369458/1314226465555725640/na/hq/,Deelux hotel chail,Resort,
"Khatri Park, Valvan",Valvan,Lonavala,Maharashtra,India,0,http://www.goibibo.com/hotels/detail/Lonavala/hn/2562341919299046803/8518812216382456947/na/hq/,Christy Kripa 3 BHK AC Villa,Villa,2.6
"22 VGP lay out,SEA CLIFF Conclave,Akkarai,Sholanginallu",East Coast Road,Chennai,Tamil Nadu,India,1,http://www.goibibo.com/hotels/detail/Chennai/hn/4354390963378411938/5384169570053746895/na/hq/,Crescent Sea Cliff,Hotel,3
"Samalkha, NH 8","Delhi Airport, Mahipalpur, Aerocity",Delhi,Delhi,India,5,http://www.goibibo.com/hotels/detail/Delhi/hn/2820046943342890302/8070079710028634009/na/hq/,Dusit Devarana,Hotel,4.4
"Hotel Fort Dhariyawad, Post-Dhariyawad, Dist-Pratapgarh  ( Rajasthan )",Pratapgarh,Pratapgarh,Rajasthan,India,0,http://www.goibibo.com/hotels/detail/Pratapgarh/hn/5871095024276282661/5560597192265747252/na/hq/,Fort Dhariyawad,Palace,
"Prantik, West Bengal 731204",Birbhum,Shantiniketan,West Bengal,India,0,http://www.goibibo.com/hotels/detail/Shantiniketan/hn/4667984576004034952/8867446803990286809/na/hq/,Farm Ville Boutique Resort,Resort,
"Village Karoran, District Mohali, (Near Punjab Engineering College, Chandigarh) Punjab. India",Others,Chandigarh,Punjab,India,5,http://www.goibibo.com/hotels/detail/Chandigarh/hn/1490240556082995568/4388182731638274525/na/hq/,Forest Hill Resort &amp; Golf Club,Resort,3.5
"Main Sohna Road, Sector 49",Sohna Road,Gurgaon,Haryana,India,4,http://www.goibibo.com/hotels/detail/Gurgaon/hn/1466927038870613796/139655705184489018/na/hq/,Fortune Select Excalibur,Hotel,4.5
"56,Kaniyanapura Village, Bandipur National Park",Gundlupet Taluk,Bandipur,Karnataka,India,0,http://www.goibibo.com/hotels/detail/Bandipur/hn/4789358214071755555/7685397833737051625/na/hq/,Dholes Den Bandipur,Homestay,4.8
"HNo. 1-11-254 And 255, Srinivas Naik Estate, Street No 1, Lane Before Begumpet Old Airport, Before ICICI Bank 500016",Begumpet,Hyderabad,Andhra Pradesh,India,0,http://www.goibibo.com/hotels/detail/Hyderabad/hn/2162254155836171767/6648993511186134843/na/hq/,Executel Begumpet,Service Apartment,3.4
"3rd Floor,Block 2 #76/41 C.I.T Nagar 1st Main Road,Nandanam",Chennai City Centre,Chennai,Tamil Nadu,India,0,http://www.goibibo.com/hotels/detail/Chennai/hn/4354390963378411938/5039577037199354271/na/hq/,Executive Comfort (T.Nagar),Service Apartment,4.5
"YMCA Bridge, Sea View Ward, Alappuzha, Kerala",Others,Alleppey,Kerala,India,0,http://www.goibibo.com/hotels/detail/Alleppey/hn/31335703284729576/5820143315325188230/na/hq/,Focus Houseboat - Four Bedded,Houseboat,
"Kovilakom Kodamthuruthe, Kuthiathode, Cherthala, Alleppey",Others,Alleppey,Kerala,India,3,http://www.goibibo.com/hotels/detail/Alleppey/hn/31335703284729576/5316178003368199755/na/hq/,Emarald Pristine Island,Resort,3.7
"Opp. Old Tehsil, Near PNB, old GT Road,",Shakti Colony,Karnal,Haryana,India,3,http://www.goibibo.com/hotels/detail/Karnal/hn/890866864468704399/629528370871932677/na/hq/,Fidalgo hotel Pvt. Ltd.,Hotel,5
"Village Sayar, Patti Udaipur Tall 2nd, Patti Udaipur Tall 2nd, Rishikesh",Rajaji National Park,Rishikesh,Uttarakhand,India,3,http://www.goibibo.com/hotels/detail/Rishikesh/hn/1546081981995124445/7358697248574155587/na/hq/,Forrest Raja Ji National Park,Resort,5
"Bhagsu Nag Waterfall Pathway, Bhagsu Naag Village, Dharamshala, Himachal Pradesh",Bhagsu Nag,Mcleodganj,Himachal Pradesh,India,2,http://www.goibibo.com/hotels/detail/Mcleodganj/hn/1307280128191747221/1347834146561194659/na/hq/,Fontana  Hotel,Hotel,2.8
"C-1, Sector-G, Aashiana,Kanpur Road,Lucknow,Uttar Pradesh",Others,Lucknow,Uttar Pradesh,India,0,http://www.goibibo.com/hotels/detail/Lucknow/hn/9114123290289445387/2077679410143025596/na/hq/,Function Inn Hotel,Hotel,
"Hotel Monarch, Near BMTC Bus Stand, 28th C Cross Road, 4th Block, Jayanagar, Bengaluru, Karnataka",Jayanagar,Bangalore,Karnataka,India,3,http://www.goibibo.com/hotels/detail/Bangalore/hn/6771549831164675055/3905840322395875741/na/hq/,FabHotel Monarch Jayanagar,Hotel,4.2
"Khirna MIDC, 390-391, Opp Plot No. A716, Ramnath Solar Company Road, Koparkhairane, Navi Mumbai",Mumbai Airport,Mumbai,Maharashtra,India,3,http://www.goibibo.com/hotels/detail/Mumbai/hn/4213513766539949483/4980370064505230315/na/hq/,FabHotel Parimeet Navi Mumbai,Hotel,
"No.24,25 Dunag Springs Padmanabha Nagar, Civil Aerodrome, Coimbatore",Others,Coimbatore,Tamil Nadu,India,0,http://www.goibibo.com/hotels/detail/Coimbatore/hn/3924148632351062483/4735532470376638776/na/hq/,DUNAG SPRINGS,Service Apartment,
Dal Lake,Dal Lake Area,Srinagar,Jammu and Kashmir,India,0,http://www.goibibo.com/hotels/detail/Srinagar/hn/5999885939075030137/2341278311047903605/na/hq/,Dilshad group of Houseboats,Houseboat,
"Gf 18, Opposite Meghdoot Garden,Scheme No 54, Vijay Nagar, Indore  452010",Vijay Nagar,Indore,Madhya Pradesh,India,0,http://www.goibibo.com/hotels/detail/Indore/hn/6727020267875173073/8616435540629915751/na/hq/,Diamond Boutique Hotel,Hotel,4.1
23/3 RK Chatterjee Lane Kasba Connector Bakultala,Ballygunge Area,Kolkata,West Bengal,India,0,http://www.goibibo.com/hotels/detail/Kolkata/hn/2066465017672827882/2559958203072431839/na/hq/,Down Town Guest House,Guest House,4
"Opposite Seema Marble, Behind BSNL Building, Anand Nagar, Vakola Bridge, Nehru Road, Santacruz East, Mumbai - 400055,",Mumbai Airport,Mumbai,Maharashtra,India,0,http://www.goibibo.com/hotels/detail/Mumbai/hn/4213513766539949483/6081778784034881756/na/hq/,Famous Rest House,Lodge,
"No.29 and 31 Thanikachalam Road,Arcot Street, Pondi Bazar,T. Nagar",Chennai City Centre,Chennai,Tamil Nadu,India,3,http://www.goibibo.com/hotels/detail/Chennai/hn/4354390963378411938/8438423749991024713/na/hq/,FabHotel Blossom T. Nagar,Service Apartment,3.7
"BG-1, Sector-2",Salt Lake,Kolkata,West Bengal,India,3,http://www.goibibo.com/hotels/detail/Kolkata/hn/2066465017672827882/2413571810289566763/na/hq/,Falcon Guest House,Guest House,4.1
"1, Near Gulab Bagh, Jal Darshan Market, R.M.V. Road",Lake Pichola Area,Udaipur,Rajasthan,India,3,http://www.goibibo.com/hotels/detail/Udaipur/hn/3369724356477798574/9213615676697660061/na/hq/,Florence Continental Hotel,Hotel,4
"Munnar Road, Kumily Thekkady - 685509 Kerala, India",Munnar Kumily Highway,Thekkady,Kerala,India,1,http://www.goibibo.com/hotels/detail/Thekkady/hn/113710562199999999/3282072676042454722/na/hq/,DOLPHIN HOMESTAY,Homestay,
"Fantasy Riverland, Gate 7, Cheepunkal Jetty, Kumarakom, Kerala PIN 686563",Others,Kumarakom,Kerala,India,0,http://www.goibibo.com/hotels/detail/Kumarakom/hn/509831601268956453/5462233672563607521/na/hq/,Fantasy Riverland,Houseboat,
"Plot 60,61, Green Hamlet, Shilpa Park, Near to HICC Back Gate ,Kondapur, Hyderabad",Hi-Tech City,Hyderabad,Andhra Pradesh,India,3,http://www.goibibo.com/hotels/detail/Hyderabad/hn/2162254155836171767/3366971597922790756/na/hq/,FabHotel MyPlace Kondapur HICC,Hotel,3.7
