state,city,name,type,distance from airport,distance from bus stand,distance from railway station,rating,no of rating,best month to visit,famous activities,prefer for friends,prefer for couple,prefer for family with children,prefer for family without children,famous activities with rating,image
Uttar Pradesh,Agra,Sikandra Fort,Historical Monument,15.3,6.2,8.9,4.4,1660,October/November/February/March,Sightseeing/Photography,TRUE,TRUE,FALSE,TRUE,"{'Sightseeing': 4.5, 'Photography': 4.2}",Sikandra_Fort_Agra_Uttar_Pradesh.webp
Himachal Pradesh,Kullu,Bijli Mahadev Temple,Religious Site,185.9,25.3,170.6,4.3,1730,April/May/June/September/October,Religious Activities/Scenic Views,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Scenic Views': 3.5}",Bijli_Mahadev_Temple_Kullu_Himachal_Pradesh.webp
Gujarat,Dwarka,Rukmini Devi Temple,Religious Site,128.6,19.2,6.5,4.5,2180,October/November/December/January/February,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Rukmini_Devi_Temple_Dwarka_Gujarat.webp
West Bengal,Hooghly,Imambara,Historical Monument,58.9,11.6,4.2,4.2,1430,October/November/February/March,Historical Exploration/Architectural Beauty,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Architectural Beauty': 3.5}",Imambara_Hooghly_West_Bengal.webp
Maharashtra,Nashik,Trimbakeshwar Temple,Religious Site,32.5,12.9,38.7,4.6,1180,October/November/December/January/February,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Trimbakeshwar_Temple_Nashik_Maharashtra.webp
Rajasthan,Jaipur,Jantar Mantar,Historical Observatory,11.2,4.5,2.1,4.5,1280,October/November/March,Historical Exploration/Astronomy,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Astronomy': 3.5}",Jantar_Mantar_Jaipur_Rajasthan.webp
Kerala,Thiruvananthapuram,Napier Museum,Museum,16.9,5.2,13.5,4.1,1530,September/October/November/December/January/February,Museum Visits/Art and History,TRUE,TRUE,FALSE,TRUE,"{'Museum Visits': 4.3, 'Art and History': 3.5}",Napier_Museum_Thiruvananthapuram_Kerala.webp
Goa,Panaji,Church of Our Lady of the Mount,Religious Site,31.2,9.8,16.5,4.4,2050,October/November/December/January/February,Religious Activities/Scenic Views,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Scenic Views': 3.5}",Church_of_Our_Lady_of_the_Mount_Panaji_Goa.webp
Karnataka,Bengaluru,Tipu Sultan's Summer Palace,Historical Palace,38.9,8.5,6.2,4.3,1780,September/October/November/December/January/February,Historical Exploration/Photography,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Photography': 4.2}",Tipu_Sultan's_Summer_Palace_Bengaluru_Karnataka.webp
Tamil Nadu,Chennai,Kapaleeshwarar Temple,Religious Site,20.5,7.2,5.9,4.7,1150,November/December/January/February,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Kapaleeshwarar_Temple_Chennai_Tamil_Nadu.webp
Uttar Pradesh,Varanasi,Sarnath Archaeological Site,Historical Site,28.3,9.1,7.5,4.4,1980,October/November/February/March,Historical Exploration/Buddhist Significance,TRUE,TRUE,TRUE,TRUE,"{'Historical Exploration': 3.5, 'Buddhist Significance': 3.5}",Sarnath_Archaeological_Site_Varanasi_Uttar_Pradesh.webp
Himachal Pradesh,Manali,Hadimba Devi Temple,Religious Site,53.9,16.5,51.2,4.5,1820,April/May/June/October,Religious Activities/Architectural Beauty,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Architectural Beauty': 3.5}",Hadimba_Devi_Temple_Manali_Himachal_Pradesh.webp
Gujarat,Ahmedabad,Sidi Saiyyed Mosque,Historical Mosque,9.5,6.2,3.8,4.3,1430,October/November/December/January/February,Historical Exploration/Architectural Beauty,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Architectural Beauty': 3.5}",Sidi_Saiyyed_Mosque_Ahmedabad_Gujarat.webp
West Bengal,Darjeeling,Ghoom Monastery,Religious Site,98.7,4.1,81.2,4.4,1680,March/April/May/September/October/November,Religious Activities/Buddhist Culture,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Buddhist Culture': 3.5}",Ghoom_Monastery_Darjeeling_West_Bengal.webp
Maharashtra,Pune,Aga Khan Palace,Historical Site,12.6,3.9,1.8,4.2,980,September/October/November/December/January/February,Historical Exploration/Museum Visits,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Museum Visits': 4.3}",Aga_Khan_Palace_Pune_Maharashtra.webp
Rajasthan,Udaipur,Jag Mandir,Historical Palace,25.9,6.8,5.1,4.5,1850,September/October/November/December/January/February/March,Sightseeing/Boating,TRUE,TRUE,TRUE,TRUE,"{'Sightseeing': 4.5, 'Boating': 4.5}",Jag_Mandir_Udaipur_Rajasthan.webp
Kerala,Kochi,Chinese Fishing Nets,Landmark,46.2,10.8,9.5,4.4,1780,September/October/November/December/January/February,Photography/Fishing Activity,TRUE,TRUE,TRUE,TRUE,"{'Photography': 4.2, 'Fishing Activity': 3.5}",Chinese_Fishing_Nets_Kochi_Kerala.webp
Goa,Vasco da Gama,Shree Shantadurga Temple,Religious Site,8.9,13.2,30.5,4.6,1950,October/November/December/January/February,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Shree_Shantadurga_Temple_Vasco_da_Gama_Goa.webp
Karnataka,Bengaluru,Vidhana Soudha,Government Building,36.5,7.8,6.9,4.1,1720,September/October/November/December/January/February,Sightseeing/Architectural Interest,FALSE,FALSE,FALSE,TRUE,"{'Sightseeing': 4.5, 'Architectural Interest': 3.5}",Vidhana_Soudha_Bengaluru_Karnataka.webp
Tamil Nadu,Madurai,Gandhi Memorial Museum,Museum,13.2,4.8,3.5,4,2150,October/November/December/January/February/March,Museum Visits/Historical Significance,TRUE,TRUE,FALSE,TRUE,"{'Museum Visits': 4.3, 'Historical Significance': 3.5}",Gandhi_Memorial_Museum_Madurai_Tamil_Nadu.webp
Uttar Pradesh,Varanasi,Kashi Vishwanath Temple,Religious Site,26.8,9.2,7.1,4.8,1920,October/November/February/March,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Kashi_Vishwanath_Temple_Varanasi_Uttar_Pradesh.webp
Himachal Pradesh,Manali,Vashisht Hot Springs,Nature,55.6,17.2,53.9,4.3,1880,April/May/June/October,Relaxing/Hot Springs,TRUE,TRUE,TRUE,TRUE,"{'Relaxing': 3.5, 'Hot Springs': 3.5}",Vashisht_Hot_Springs_Manali_Himachal_Pradesh.webp
Gujarat,Vadodara,Sayaji Gardens,Park,11.2,4.1,2.8,4,1580,October/November/December/January/February,Relaxing/Zoo Visit,TRUE,TRUE,TRUE,TRUE,"{'Relaxing': 3.5, 'Zoo Visit': 3.5}",Sayaji_Gardens_Vadodara_Gujarat.webp
West Bengal,Darjeeling,Batasia Loop,Scenic Spot,96.3,3.8,79.5,4.5,1730,March/April/May/September/October/November,Scenic Views/Toy Train Ride,TRUE,TRUE,TRUE,TRUE,"{'Scenic Views': 3.5, 'Toy Train Ride': 3.5}",Batasia_Loop_Darjeeling_West_Bengal.webp
Maharashtra,Nashik,Pandavleni Caves,Historical Site,30.1,11.5,36.2,4.2,1120,October/November/December/January/February,Historical Exploration/Buddhist Caves,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Buddhist Caves': 3.5}",Pandavleni_Caves_Nashik_Maharashtra.webp
Rajasthan,Jodhpur,Umaid Bhawan Palace,Historical Palace,9.1,5.6,7.2,4.7,1810,October/November/February/March,Sightseeing/Heritage Hotel,TRUE,TRUE,TRUE,TRUE,"{'Sightseeing': 4.5, 'Heritage Hotel': 3.5}",Umaid_Bhawan_Palace_Jodhpur_Rajasthan.webp
Kerala,Munnar,Eravikulam National Park,Nature,112.9,26.5,138.7,4.6,1680,September/October/November/December/January/February,Wildlife Spotting/Trekking,TRUE,TRUE,TRUE,TRUE,"{'Wildlife Spotting': 3.5, 'Trekking': 4.8}",Eravikulam_National_Park_Munnar_Kerala.webp
Goa,Margao,Church of the Holy Spirit,Religious Site,62.5,19.2,47.1,4.3,1910,October/November/December/January/February,Religious Activities/Architectural Beauty,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Architectural Beauty': 3.5}",Church_of_the_Holy_Spirit_Margao_Goa.webp
Karnataka,Hampi,Virupaksha Temple,Religious Site,355.2,12.9,110.7,4.8,2350,October/November/December/January/February,Religious Activities/Historical Significance,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Historical Significance': 3.5}",Virupaksha_Temple_Hampi_Karnataka.webp
Tamil Nadu,Kanyakumari,Thiruvalluvar Statue,Monument,98.6,16.5,91.2,4.5,2080,October/November/December/January/February/March,Sightseeing/Photography,TRUE,TRUE,TRUE,TRUE,"{'Sightseeing': 4.5, 'Photography': 4.2}",
Uttar Pradesh,Lucknow,Chota Imambara,Historical Monument,16.5,6.9,5.2,4.4,1550,October/November/February/March,Sightseeing/Historical Exploration,TRUE,TRUE,FALSE,TRUE,"{'Sightseeing': 4.5, 'Historical Exploration': 3.5}",Chota_Imambara_Lucknow_Uttar_Pradesh.webp
Himachal Pradesh,Dharamshala,Tsuglagkhang Complex,Religious Site,19.2,2.8,16.1,4.6,1750,March/April/May/June/September/October/November,Spiritual Experience/Buddhist Culture,TRUE,TRUE,TRUE,TRUE,"{'Spiritual Experience': 3.5, 'Buddhist Culture': 3.5}",Tsuglagkhang_Complex_Dharamshala_Himachal_Pradesh.webp
Gujarat,Dwarka,Beyt Dwarka,Religious Site,130.9,19.8,8.5,4.4,2210,October/November/December/January/February,Religious Activities/Island Visit,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Island Visit': 3.5}",Beyt_Dwarka_Dwarka_Gujarat.webp
West Bengal,Kolkata,Belur Math,Religious Site,25.6,10.2,8.9,4.7,1250,October/November/February/March,Religious Activities/Peaceful Environment,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Peaceful Environment': 3.5}",Belur_Math_Kolkata_West_Bengal.webp
Maharashtra,Aurangabad,Bibi ka Maqbara,Historical Monument,102.9,26.5,32.8,4.3,2010,October/November/February/March,Sightseeing/Photography,TRUE,TRUE,FALSE,TRUE,"{'Sightseeing': 4.5, 'Photography': 4.2}",
Rajasthan,Pushkar,Brahma Temple,Religious Site,148.5,11.2,13.9,4.5,1710,October/November/February/March,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Brahma_Temple_Pushkar_Rajasthan.webp
Kerala,Wayanad,Soochipara Falls,Nature,98.9,23.2,88.6,4.2,1580,September/October/November/December/January/February,Waterfalls/Trekking,TRUE,TRUE,TRUE,TRUE,"{'Waterfalls': 3.5, 'Trekking': 4.8}",Soochipara_Falls_Wayanad_Kerala.webp
Goa,Arambol,Sweet Water Lake,Nature,57.6,16.5,40.2,4.1,1720,October/November/December/January/February,Relaxing/Swimming,TRUE,TRUE,TRUE,TRUE,"{'Relaxing': 3.5, 'Swimming': 3.5}",Sweet_Water_Lake_Arambol_Goa.webp
Karnataka,Coorg,Dubare Elephant Camp,Nature,135.9,15.8,120.2,4.4,1850,September/October/November/December/January/February,Elephant Interaction/Nature Walks,TRUE,TRUE,TRUE,TRUE,"{'Elephant Interaction': 3.5, 'Nature Walks': 3.5}",Dubare_Elephant_Camp_Coorg_Karnataka.webp
Tamil Nadu,Ooty,Botanical Garden,Nature,91.2,13.5,85.9,4.3,1480,April/May/June/September/October,Gardens/Flower Shows,TRUE,TRUE,TRUE,TRUE,"{'Gardens': 3.5, 'Flower Shows': 3.5}",Botanical_Garden_Ooty_Tamil_Nadu.webp
Uttar Pradesh,Mathura,Dwarkadhish Temple,Religious Site,168.5,13.5,7.2,4.6,2030,October/November/February/March,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Dwarkadhish_Temple_Mathura_Uttar_Pradesh.webp
Himachal Pradesh,Dalhousie,St. Francis' Church,Religious Site,123.9,9.2,113.5,4.2,1680,April/May/June/September/October,Religious Activities/Historical Significance,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Historical Significance': 3.5}",St._Francis'_Church_Dalhousie_Himachal_Pradesh.webp
Gujarat,Gir National Park,Devalia Safari Park,Wildlife Sanctuary,68.9,22.5,48.7,4.5,1930,December/January/February/March,Wildlife Safari/Lion Spotting,TRUE,TRUE,TRUE,TRUE,"{'Wildlife Safari': 4.7, 'Lion Spotting': 3.5}",Devalia_Safari_Park_Gir_National_Park_Gujarat.webp
West Bengal,Sundarbans National Park,Sajnekhali Wildlife Sanctuary,Wildlife Sanctuary,118.6,36.5,88.9,4.2,1580,October/November/December/January/February,Wildlife Safari/Bird Watching,TRUE,TRUE,TRUE,TRUE,"{'Wildlife Safari': 4.7, 'Bird Watching': 3.5}",Sajnekhali_Wildlife_Sanctuary_Sundarbans_National_Park_West_Bengal.webp
Maharashtra,Lonavala,Bhaja Caves,Historical Site,78.9,19.2,93.5,4.1,1230,June/July/August/September/October,Historical Exploration/Buddhist Caves,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Buddhist Caves': 3.5}",Bhaja_Caves_Lonavala_Maharashtra.webp
Rajasthan,Mount Abu,Guru Shikhar,Nature,178.6,13.2,153.9,4.3,1630,March/April/May/September/October,Scenic Views/Temple Visit,TRUE,TRUE,TRUE,TRUE,"{'Scenic Views': 3.5, 'Temple Visit': 3.5}",Guru_Shikhar_Mount_Abu_Rajasthan.webp
Kerala,Thekkady,Abraham's Spice Garden,Nature,148.9,30.8,163.5,4.4,1730,September/October/November/December/January/February,Spice Plantation Tours/Ayurvedic Plants,TRUE,TRUE,TRUE,TRUE,"{'Spice Plantation Tours': 3.5, 'Ayurvedic Plants': 3.5}",Abraham's_Spice_Garden_Thekkady_Kerala.webp
Goa,Benaulim,Holy Trinity Church,Religious Site,61.2,17.2,45.9,4,1880,October/November/December/January/February,Religious Activities/Architectural Beauty,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Architectural Beauty': 3.5}",Holy_Trinity_Church_Benaulim_Goa.webp
Karnataka,Chikmagalur,Kemmangundi,Nature,255.3,29.2,225.9,4.4,1980,September/October/November/December/January/February,Trekking/Scenic Views/Gardens,TRUE,TRUE,TRUE,TRUE,"{'Trekking': 4.8, 'Scenic Views': 3.5, 'Gardens': 3.5}",Kemmangundi_Chikmagalur_Karnataka.webp
Tamil Nadu,Kodaikanal,Bryant Park,Nature,123.9,16.5,113.6,4.2,1530,April/May/June/September/October,Gardens/Flower Shows,TRUE,TRUE,TRUE,TRUE,"{'Gardens': 3.5, 'Flower Shows': 3.5}",Bryant_Park_Kodaikanal_Tamil_Nadu.webp
Uttar Pradesh,Allahabad,Anand Bhavan,Historical Museum,118.9,18.8,12.5,4.3,2080,October/November/February/March,Historical Exploration/Museum Visits,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Museum Visits': 4.3}",Anand_Bhavan_Allahabad_Uttar_Pradesh.webp
Himachal Pradesh,Kullu,Raghunath Temple,Religious Site,183.9,23.2,168.6,4.4,1780,April/May/June/September/October,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Raghunath_Temple_Kullu_Himachal_Pradesh.webp
Gujarat,Somnath,Triveni Sangam,Religious Site,198.6,25.8,8.5,4.6,2230,October/November/December/January/February,Religious Activities/Confluence of Rivers,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Confluence of Rivers': 3.5}",Triveni_Sangam_Somnath_Gujarat.webp
West Bengal,Shantiniketan,Visva-Bharati University,Educational Institution,183.2,15.8,168.9,4.4,1630,October/November/December/January/February,Campus Visit/Cultural Exploration,TRUE,TRUE,TRUE,TRUE,"{'Campus Visit': 3.5, 'Cultural Exploration': 3.5}",Visva-Bharati_University_Shantiniketan_West_Bengal.webp
Maharashtra,Mahabaleshwar,Venna Lake,Nature,123.9,20.9,108.6,4.1,1330,October/November/December/January/February/March,Boating/Scenic Views,TRUE,TRUE,TRUE,TRUE,"{'Boating': 4.5, 'Scenic Views': 3.5}",Venna_Lake_Mahabaleshwar_Maharashtra.webp
Rajasthan,Jaisalmer,Patwon ki Haveli,Historical Mansion,8.6,3.8,3.2,4.5,1880,October/November/February/March,Historical Exploration/Architecture,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Architecture': 3.5}",Patwon_ki_Haveli_Jaisalmer_Rajasthan.webp
Kerala,Varkala,Janardhana Swamy Temple,Religious Site,58.6,13.5,43.9,4.3,1710,September/October/November/December/January/February,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Janardhana_Swamy_Temple_Varkala_Kerala.webp
Goa,Anjuna,St. Michael's Church,Religious Site,51.9,15.2,35.6,4,1750,October/November/December/January/February,Religious Activities/Architectural Beauty,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Architectural Beauty': 3.5}",St._Michael's_Church_Anjuna_Goa.webp
Karnataka,Udupi,Malpe Beach,Beach,63.9,9.5,6.2,4.2,2130,September/October/November/December/January/February,Relaxing/Water Sports,TRUE,TRUE,TRUE,TRUE,"{'Relaxing': 3.5, 'Water Sports': 4.7}",Malpe_Beach_Udupi_Karnataka.webp
Tamil Nadu,Rameshwaram,Dhanushkodi,Beach,178.6,22.8,5.9,4.4,2080,October/November/December/January/February/March,Beach Exploration/Historical Significance,TRUE,TRUE,TRUE,TRUE,"{'Beach Exploration': 3.5, 'Historical Significance': 3.5}",Dhanushkodi_Rameshwaram_Tamil_Nadu.webp
Uttar Pradesh,Ayodhya,Hanuman Garhi Temple,Religious Site,133.9,10.8,2.5,4.7,2330,October/November/February/March,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Hanuman_Garhi_Temple_Ayodhya_Uttar_Pradesh.webp
Himachal Pradesh,Spiti Valley,Tabo Monastery,Religious Site,325.9,46.5,285.2,4.5,1980,June/July/August/September/October,Spiritual Experience/Buddhist Art,TRUE,TRUE,TRUE,TRUE,"{'Spiritual Experience': 3.5, 'Buddhist Art': 3.5}",Tabo_Monastery_Spiti_Valley_Himachal_Pradesh.webp
Gujarat,Rann of Kutch,Kalo Dungar,Nature,355.9,60.8,285.2,4.6,2430,October/November/December/January/February,Panoramic Views/Dattatreya Temple,TRUE,TRUE,TRUE,TRUE,"{'Panoramic Views': 3.5, 'Dattatreya Temple': 3.5}",Kalo_Dungar_Rann_of_Kutch_Gujarat.webp
West Bengal,Kalimpong,Durpin Dara Hill,Nature,83.9,13.2,68.6,4.2,1580,March/April/May/September/October/November,Scenic Views/Monastery Visit,TRUE,TRUE,TRUE,TRUE,"{'Scenic Views': 3.5, 'Monastery Visit': 3.5}",Durpin_Dara_Hill_Kalimpong_West_Bengal.webp
Maharashtra,Igatpuri,Bhatsa River Valley,Nature,123.9,30.8,138.5,4.1,1430,October/November/December/January/February,Scenic Views/Nature Walks,TRUE,TRUE,TRUE,TRUE,"{'Scenic Views': 3.5, 'Nature Walks': 3.5}",Bhatsa_River_Valley_Igatpuri_Maharashtra.webp
Rajasthan,Bikaner,Lalgarh Palace,Historical Palace,18.6,7.5,5.2,4.3,1730,October/November/February/March,Historical Exploration/Heritage Hotel,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Heritage Hotel': 3.5}",Lalgarh_Palace_Bikaner_Rajasthan.webp
Kerala,Bekal,Ananthapura Lake Temple,Religious Site,123.9,19.2,108.6,4.2,1610,September/October/November/December/January/February,Religious Activities/Unique Architecture,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Unique Architecture': 3.5}",
Goa,Candolim,St. Lawrence Church,Religious Site,38.9,10.8,25.6,4,1810,October/November/December/January/February,Religious Activities/Architectural Beauty,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Architectural Beauty': 3.5}",St._Lawrence_Church_Candolim_Goa.webp
Karnataka,Badami,Agastya Lake,Nature,455.6,16.5,125.2,4.4,2230,October/November/December/January/February,Scenic Views/Historical Surroundings,TRUE,TRUE,TRUE,TRUE,"{'Scenic Views': 3.5, 'Historical Surroundings': 3.5}",Agastya_Lake_Badami_Karnataka.webp
Tamil Nadu,Kanchipuram,Varadharaja Perumal Temple,Religious Site,78.6,11.5,3.2,4.6,2030,October/November/December/January/February/March,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Varadharaja_Perumal_Temple_Kanchipuram_Tamil_Nadu.webp
Uttar Pradesh,Fatehpur Sikri,Buland Darwaza,Historical Gate,38.9,13.2,12.5,4.5,1680,October/November/February/March,Historical Exploration/Architectural Marvel,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Architectural Marvel': 3.5}",Buland_Darwaza_Fatehpur_Sikri_Uttar_Pradesh.webp
Himachal Pradesh,Kasol,Tosh Village,Nature,305.9,36.5,255.2,4.4,1830,April/May/June/September/October,Trekking/Scenic Views/Village Life,TRUE,TRUE,TRUE,TRUE,"{'Trekking': 4.8, 'Scenic Views': 3.5, 'Village Life': 3.5}",Tosh_Village_Kasol_Himachal_Pradesh.webp
Gujarat,Modhera,Modhera Dance Festival Venue,Cultural Site,101.9,15.8,28.6,4.5,1980,January,Cultural Festival/Architectural Beauty,TRUE,TRUE,TRUE,TRUE,"{'Cultural Festival': 3.5, 'Architectural Beauty': 3.5}",Modhera_Dance_Festival_Venue_Modhera_Gujarat.webp
West Bengal,Murshidabad,Nashipur Palace,Historical Palace,225.9,26.5,185.2,4.1,1530,October/November/February/March,Historical Exploration/Photography,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Photography': 4.2}",Nashipur_Palace_Murshidabad_West_Bengal.webp
Maharashtra,Alibaug,Kolaba Fort,Historical Fort,113.9,20.8,98.6,4,1280,October/November/December/January/February,Historical Exploration/Sea Fort,TRUE,TRUE,TRUE,TRUE,"{'Historical Exploration': 3.5, 'Sea Fort': 3.5}",Kolaba_Fort_Alibaug_Maharashtra.webp
Rajasthan,Bharatpur,Lohagarh Fort,Historical Fort,58.9,10.8,9.5,4.4,1780,October/November/December/January/February,Historical Exploration/Museum Visits,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Museum Visits': 4.3}",Lohagarh_Fort_Bharatpur_Rajasthan.webp
Kerala,Alappuzha,Marari Beach,Beach,88.9,16.5,7.2,4.5,1680,September/October/November/December/January/February,Relaxing/Beach Walks,TRUE,TRUE,TRUE,TRUE,"{'Relaxing': 3.5, 'Beach Walks': 3.5}",Marari_Beach_Alappuzha_Kerala.webp
Goa,Colva,Our Lady of Mercy Church,Religious Site,25.6,10.5,20.2,3.9,1830,October/November/December/January/February,Religious Activities/Architectural Beauty,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Architectural Beauty': 3.5}",Our_Lady_of_Mercy_Church_Colva_Goa.webp
Karnataka,Belur,Veera Narayana Temple,Religious Site,225.9,26.5,185.2,4.6,2180,September/October/November/December/January/February,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Veera_Narayana_Temple_Belur_Karnataka.webp
Tamil Nadu,Chidambaram,Thillai Nataraja Temple,Religious Site,228.6,30.8,8.5,4.5,2030,October/November/December/January/February/March,Religious Activities/Temple Visits/Classical Dance,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3, 'Classical Dance': 3.5}",Thillai_Nataraja_Temple_Chidambaram_Tamil_Nadu.webp
Uttar Pradesh,Sarnath,Ashoka Pillar,Historical Monument,33.9,13.5,11.2,4.4,1930,October/November/February/March,Historical Exploration/Buddhist Significance,TRUE,TRUE,TRUE,TRUE,"{'Historical Exploration': 3.5, 'Buddhist Significance': 3.5}",Ashoka_Pillar_Sarnath_Uttar_Pradesh.webp
Himachal Pradesh,Kasauli,Sunset Point,Nature,68.6,6.5,4.2,4.2,1710,April/May/June/September/October,Scenic Views/Photography,TRUE,TRUE,TRUE,TRUE,"{'Scenic Views': 3.5, 'Photography': 4.2}",Sunset_Point_Kasauli_Himachal_Pradesh.webp
Gujarat,Porbandar,Sudama Mandir,Religious Site,113.9,19.2,8.6,4.3,1950,October/November/December/January/February,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Sudama_Mandir_Porbandar_Gujarat.webp
West Bengal,Bishnupur,Rasmancha,Historical Structure,188.6,22.8,163.9,4.2,1580,October/November/February/March,Historical Exploration/Architectural Significance,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Architectural Significance': 3.5}",
Maharashtra,Matheran,Panorama Point,Nature,108.9,15.8,83.6,4,1310,October/November/December/January/February/March,Scenic Views/Trekking,TRUE,TRUE,TRUE,TRUE,"{'Scenic Views': 3.5, 'Trekking': 4.8}",Panorama_Point_Matheran_Maharashtra.webp
Rajasthan,Bundi,Sukh Mahal,Historical Palace,213.9,13.5,188.6,4.2,1650,October/November/February/March,Historical Exploration/Photography,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Photography': 4.2}",Sukh_Mahal_Bundi_Rajasthan.webp
Kerala,Kumarakom,Aruvikkuzhy Waterfalls,Nature,78.9,18.8,13.6,4.4,1730,September/October/November/December/January/February,Waterfalls/Nature Walks,TRUE,TRUE,TRUE,TRUE,"{'Waterfalls': 3.5, 'Nature Walks': 3.5}",Aruvikkuzhy_Waterfalls_Kumarakom_Kerala.webp
Goa,Vagator,Ozran Beach (Little Vagator),Beach,45.9,12.2,30.6,4.1,1780,October/November/December/January/February,Relaxing/Nightlife/Scenic Views,TRUE,TRUE,TRUE,TRUE,"{'Relaxing': 3.5, 'Nightlife': 4.4, 'Scenic Views': 3.5}",Ozran_Beach_(Little_Vagator)_Vagator_Goa.webp
Karnataka,Shravanabelagola,Chandraprabha Basadi,Religious Site,153.9,21.5,128.6,4.7,2280,October/November/December/January/February,Religious Activities/Historical Significance,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Historical Significance': 3.5}",
Tamil Nadu,Thanjavur,Vijayanagar Fort,Historical Fort,63.9,13.2,5.6,4.3,2130,October/November/December/January/February/March,Historical Exploration/Photography,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Photography': 4.2}",Vijayanagar_Fort_Thanjavur_Tamil_Nadu.webp
Uttar Pradesh,Chitrakoot,Gupt Godavari Caves,Nature,183.9,25.8,18.6,4.5,2080,October/November/February/March,Cave Exploration/Religious Significance,TRUE,TRUE,TRUE,TRUE,"{'Cave Exploration': 3.5, 'Religious Significance': 3.5}",Gupt_Godavari_Caves_Chitrakoot_Uttar_Pradesh.webp
